https://cdn.meme.am/images/400x/277291.jpg	(no top text)	CHALLENGE ACCEPTED
https://cdn.meme.am/images/400x/277291.jpg	Hugs?	Challenge Accepted
https://cdn.meme.am/images/400x/366130.jpg	HEY JIMMY, ITS JOSE	LOAD DIDNT PICK UP, WILL BE LATE, ITS COOL DOG
https://cdn.meme.am/images/400x/1164.jpg	Round up guns	Why are criminals shooting us?
https://cdn.meme.am/images/400x/1164.jpg	Che t-shirt, kafiyah, professionally-printed protest placard	All paid for by mommy and daddy
https://cdn.meme.am/images/400x/1164.jpg	Bush has low approval rating after seven years in office, it's proof what a terrible president he was	Obama has a low approval rating after two years, approval ratings are meaningless and people are stupid anyway
https://cdn.meme.am/images/400x/1164.jpg	Bush has low approval rating after seven years in office, constantly tout it as evidence of how much he sucks and what a bad job he's doing	Obama has a low approval rating after two years, approval ratings are meaningless and people are stupid anyway
https://cdn.meme.am/images/400x/1164.jpg	How dare you call me a terrorist supporter?!	They're freedom fighters!
https://cdn.meme.am/images/400x/228308.jpg	That'ssssss a very nice profile picture you have there...	It would be a sssssshame if something happened to it...
https://cdn.meme.am/images/400x/1097794.jpg	DSADS	ASDASDSD
https://cdn.meme.am/images/400x/1325.jpg	Congratulations!	You made Level 40!
https://cdn.meme.am/images/400x/1325.jpg	Congratulations!	You made Level 40!
https://cdn.meme.am/images/400x/142442.jpg	Sends msgs on steam	user goes offline
https://cdn.meme.am/images/400x/142442.jpg	Sends msgs on steam	user status changes to away
https://cdn.meme.am/images/400x/142442.jpg	Send msgs on steam	user status changes to away
https://cdn.meme.am/images/400x/142442.jpg	qwe	qwe
https://cdn.meme.am/images/400x/142442.jpg	HEADSET BROKE	SADDEST DAY OF MY LIFE
https://cdn.meme.am/images/400x/142442.jpg	Sends msgs on steam	user status changes to away
https://cdn.meme.am/images/400x/142442.jpg	Fry	Forever AloneD:
https://cdn.meme.am/images/400x/142442.jpg	Fre	Forever alone D:
https://cdn.meme.am/images/400x/337238.jpg	(no top text)	I ARE THE NIGGEST
https://cdn.meme.am/images/400x/84688.jpg	(no top text)	This is true
https://cdn.meme.am/images/400x/84688.jpg	I THINK	U MAD
https://cdn.meme.am/images/400x/84688.jpg	(no top text)	No
https://cdn.meme.am/images/400x/84688.jpg	NOT SURE IF FORGET THEY ALWAYS LOSE	OR RUTHLESS PR SPIN MACHINE
https://cdn.meme.am/images/400x/84688.jpg	Can't tell if serious	or just stupid
https://cdn.meme.am/images/400x/84688.jpg	Not sure if Gonzol	or Goykol
https://cdn.meme.am/images/400x/1391.jpg	freitag abend	total verschallert fuckrn und bei facebook allen auf den sack gehen
https://cdn.meme.am/images/400x/1391.jpg	(no top text)	Dorgas
https://cdn.meme.am/images/400x/1391.jpg	2 STONED	2 GUD
https://cdn.meme.am/images/400x/984.jpg	IF I SET A DISH HERE	WILL IT WASH ITSELF?
https://cdn.meme.am/images/400x/984.jpg	If you're playing yourself	Are you REALLY acting?
https://cdn.meme.am/images/400x/138875.jpg	JOEL	Y U NO GET A LIFE
https://cdn.meme.am/images/400x/138875.jpg	FACEBOOK FRIENDS	Y U LIKE MY STATUS
https://cdn.meme.am/images/400x/138875.jpg	FACEBOOK FRIENDS	Y U NO LIKE MY STATUS
https://cdn.meme.am/images/400x/138875.jpg	DANE	Y U NO STFU
https://cdn.meme.am/images/400x/138875.jpg	DANE         	Y U NO STFU
